Molecule List Name,Precursor Name,Precursor Formula,Precursor Adduct,Precursor Charge,Product m/z,Product Charge,CCS
ymdb,L-Allothreonine-p1,C4H9NO3,[M-H]-,-1,118.0515,-1,119.7
ymdb,L-Arginine-p1,C6H14N4O2,[M+H]+,1,175.119,1,136.6
ymdb,L-Arginine-p1,C6H14N4O2,[M-H]-,-1,173.1044,-1,137.6
ymdb,L-Asparagine-p1,C4H8N2O3,[M+H]+,1,133.0613,1,130.7
ymdb,L-Asparagine-p1,C4H8N2O3,[M-H]-,-1,131.0467,-1,124.2
ymdb,L-Aspartic acid-p1,C4H7NO4,[M-H]-,-1,132.0302,-1,119.8
ymdb,L-Cystathionine-p1,C7H14N2O4S,[M+H]+,1,223.0732,1,147.4
ymdb,L-Cystathionine-p1,C7H14N2O4S,[M-H]-,-1,221.0598,-1,142.1
ymdb,L-Cysteine-p1,C3H7NO2S,[M+H]+,1,122.0276,1,148.6
ymdb,L-Cysteine-p1,C3H7NO2S,[M-H]-,-1,120.0119,-1,144.0
ymdb,L-Cystine-p1,C6H12N2O4S2,[M+H]+,1,241.0311,1,149.8
ymdb,L-Cystine-p1,C6H12N2O4S2,[M-H]-,-1,239.0166,-1,144.0
ymdb,L-Dihydroorotic acid-p1,C5H6N2O4,[M-H]-,-1,157.027,-1,125.5
ymdb,L-Glutamic acid-p1,C5H9NO4,[M+H]+,1,148.0599,1,130.9
ymdb,L-Glutamic acid-p1,C5H9NO4,[M-H]-,-1,146.0459,-1,125.1
ymdb,L-Glutamine-p1,C5H10N2O3,[M+H]+,1,147.0762,1,130.9
ymdb,L-Glutamine-p1,C5H10N2O3,[M-H]-,-1,145.0628,-1,127.7
ymdb,L-Histidine-p1,C6H9N3O2,[M+H]+,1,156.0768,1,132.3
ymdb,L-Histidine-p1,C6H9N3O2,[M-H]-,-1,154.0622,-1,129.4
ymdb,L-Homoserine-p1,C4H9NO3,[M+H]+,1,120.0654,1,126.1
ymdb,L-Homoserine-p1,C4H9NO3,[M-H]-,-1,118.0509,-1,120.8
ymdb,L-Isoleucine-p1,C6H13NO2,[M+H]+,1,132.1019,1,133.3
ymdb,L-Isoleucine-p1,C6H13NO2,[M-H]-,-1,130.0874,-1,130.6
ymdb,L-Kynurenine-p1,C10H12N2O3,[M+H]+,1,209.0908,1,149.8
ymdb,L-Leucine-p1,C6H13NO2,[M+H]+,1,132.1019,1,135.1
